,Income_Category
4841,Less than $40K
6386,Less than $40K
1693,$80K - $120K
3644,Less than $40K
1285,$80K - $120K
795,Unknown
1954,Less than $40K
1073,Less than $40K
8885,$80K - $120K
8256,Less than $40K
2551,$80K - $120K
6001,$120K +
2965,Less than $40K
1740,$60K - $80K
6259,Less than $40K
2537,$80K - $120K
1467,Less than $40K
4439,$80K - $120K
2826,$40K - $60K
10099,Less than $40K
6380,$80K - $120K
5219,Less than $40K
991,$60K - $80K
5843,Less than $40K
4751,Less than $40K
3742,$120K +
3268,$80K - $120K
9613,Less than $40K
5939,Less than $40K
1198,$120K +
4368,$60K - $80K
7266,Less than $40K
6320,$40K - $60K
8559,$80K - $120K
4355,$120K +
3514,Less than $40K
7353,Less than $40K
7494,Less than $40K
1762,Unknown
199,$60K - $80K
381,$80K - $120K
983,Less than $40K
5262,Less than $40K
6174,Less than $40K
727,$60K - $80K
9827,Less than $40K
6737,$60K - $80K
3092,Less than $40K
4403,$60K - $80K
1549,$120K +
9154,Less than $40K
7478,$80K - $120K
2575,$80K - $120K
10031,$120K +
8581,$80K - $120K
703,$60K - $80K
4098,Less than $40K
2363,$40K - $60K
9479,Less than $40K
8743,Less than $40K
3265,Less than $40K
268,$40K - $60K
1703,$60K - $80K
908,Less than $40K
3378,$80K - $120K
2335,Unknown
6638,$120K +
3292,$60K - $80K
5354,Less than $40K
4997,Less than $40K
7849,Less than $40K
7518,$40K - $60K
7315,Less than $40K
7026,$40K - $60K
3610,$60K - $80K
6368,$80K - $120K
637,Less than $40K
556,$60K - $80K
2874,Less than $40K
3495,$60K - $80K
7786,Less than $40K
2407,$80K - $120K
9852,$80K - $120K
3432,Less than $40K
7835,$40K - $60K
3273,$120K +
6792,Less than $40K
9292,$40K - $60K
5098,Less than $40K
3801,Unknown
9954,$80K - $120K
886,Unknown
8738,Unknown
1391,Less than $40K
3118,$120K +
7463,Less than $40K
5375,$60K - $80K
2237,$120K +
4778,$80K - $120K
1002,$60K - $80K
9646,$60K - $80K
6219,Unknown
9965,$120K +
669,$40K - $60K
6651,$40K - $60K
8655,$40K - $60K
10030,Less than $40K
7992,Less than $40K
6667,$40K - $60K
3022,$120K +
5529,Unknown
6290,$80K - $120K
6466,Less than $40K
1615,Less than $40K
910,Unknown
3708,$60K - $80K
650,Unknown
4851,$40K - $60K
3959,Unknown
1556,Less than $40K
1362,Unknown
3422,$40K - $60K
7290,Less than $40K
7969,Less than $40K
3321,$40K - $60K
6679,Less than $40K
2437,Less than $40K
3561,Unknown
1717,$40K - $60K
5429,Less than $40K
9718,$40K - $60K
326,$120K +
490,$80K - $120K
4701,$120K +
8799,$40K - $60K
7781,Less than $40K
6243,Less than $40K
8662,$60K - $80K
2098,Less than $40K
9091,Less than $40K
2435,Unknown
5369,Less than $40K
5538,Less than $40K
177,Less than $40K
3695,$80K - $120K
963,Less than $40K
5653,Less than $40K
7982,Less than $40K
8083,Less than $40K
6771,Unknown
391,Less than $40K
6607,Less than $40K
5808,Less than $40K
7688,Less than $40K
1722,$60K - $80K
1631,$120K +
6145,$40K - $60K
5385,Unknown
8062,$60K - $80K
1614,Less than $40K
1664,Less than $40K
5667,$80K - $120K
8229,Less than $40K
5626,Less than $40K
946,Unknown
5899,Less than $40K
416,Less than $40K
8775,Less than $40K
9517,$40K - $60K
1416,$80K - $120K
3069,$80K - $120K
4406,$80K - $120K
4698,Less than $40K
9297,$80K - $120K
9390,$40K - $60K
5384,Less than $40K
1025,$80K - $120K
5963,$120K +
8289,Less than $40K
8227,$40K - $60K
4252,Less than $40K
9067,Less than $40K
7966,Less than $40K
2871,$60K - $80K
7897,Less than $40K
4754,$60K - $80K
8328,$40K - $60K
6604,$60K - $80K
4467,Less than $40K
2399,$60K - $80K
8300,Unknown
4457,Less than $40K
8086,Less than $40K
6390,Less than $40K
4966,$60K - $80K
3200,Unknown
1663,Less than $40K
10121,Less than $40K
7365,Less than $40K
2539,$60K - $80K
814,Less than $40K
2535,Less than $40K
1260,$40K - $60K
5295,Less than $40K
6139,Unknown
4663,$40K - $60K
7070,$120K +
2819,Less than $40K
1731,$80K - $120K
9152,Less than $40K
1,Less than $40K
5931,Less than $40K
7886,Less than $40K
9232,$80K - $120K
6171,Less than $40K
9764,Unknown
7252,Less than $40K
5532,$60K - $80K
9849,$120K +
4844,$80K - $120K
569,$120K +
8993,$80K - $120K
3921,$80K - $120K
1566,$120K +
8476,Less than $40K
6044,Less than $40K
4216,Less than $40K
2739,$40K - $60K
5995,Unknown
4445,Less than $40K
7410,Less than $40K
7015,Less than $40K
10059,Less than $40K
9279,Less than $40K
2463,$40K - $60K
7940,Less than $40K
2758,$80K - $120K
1213,$60K - $80K
3893,Unknown
3435,Less than $40K
5786,Unknown
8170,$40K - $60K
4679,Less than $40K
5318,Less than $40K
3580,$40K - $60K
8774,Less than $40K
2949,Unknown
1751,$40K - $60K
593,Less than $40K
1683,$40K - $60K
6309,$80K - $120K
1998,$60K - $80K
3839,$80K - $120K
2393,Less than $40K
3532,$80K - $120K
1318,Less than $40K
4985,Less than $40K
9989,$120K +
5061,Less than $40K
3251,$80K - $120K
2157,Less than $40K
2173,$80K - $120K
6125,$80K - $120K
7378,Unknown
536,$120K +
6095,Less than $40K
6785,Unknown
5366,Less than $40K
458,Less than $40K
8255,Less than $40K
94,Unknown
1739,$80K - $120K
760,$40K - $60K
6533,Less than $40K
7747,Less than $40K
951,$120K +
5013,$60K - $80K
4737,$120K +
8478,$60K - $80K
913,$60K - $80K
7914,Less than $40K
2289,$80K - $120K
1221,$40K - $60K
96,$40K - $60K
2318,$80K - $120K
8747,$40K - $60K
5928,$120K +
3011,$80K - $120K
8839,Less than $40K
2979,$120K +
5033,Less than $40K
1199,Less than $40K
5696,Unknown
7677,$120K +
2791,Unknown
7968,Less than $40K
5309,Unknown
9736,Less than $40K
1602,Unknown
9341,Less than $40K
4035,Unknown
8103,Less than $40K
643,$80K - $120K
4773,Less than $40K
5613,Less than $40K
6847,$40K - $60K
330,$40K - $60K
5830,Less than $40K
9975,$80K - $120K
3393,$120K +
186,$80K - $120K
8488,$60K - $80K
2405,Less than $40K
7959,$120K +
9994,$60K - $80K
3573,$40K - $60K
8248,$80K - $120K
8066,Less than $40K
9804,$120K +
6035,Unknown
9093,$60K - $80K
3302,$120K +
7619,$40K - $60K
64,$120K +
8144,$80K - $120K
2738,$40K - $60K
6786,Less than $40K
7159,Less than $40K
5293,Less than $40K
2985,$80K - $120K
3779,Unknown
2153,$60K - $80K
5299,$40K - $60K
5968,Less than $40K
376,$40K - $60K
1262,$60K - $80K
1670,$40K - $60K
8373,Unknown
8311,Unknown
1177,Unknown
4983,$60K - $80K
5443,$40K - $60K
2959,$40K - $60K
8110,$40K - $60K
1438,$80K - $120K
8741,$40K - $60K
3900,$120K +
5812,$60K - $80K
2351,Less than $40K
775,Unknown
1516,$80K - $120K
9157,Less than $40K
6794,$40K - $60K
8079,Less than $40K
8364,Less than $40K
1795,$80K - $120K
2978,Less than $40K
97,$40K - $60K
4795,$60K - $80K
680,Less than $40K
9835,$80K - $120K
9321,Unknown
8028,Less than $40K
7045,$60K - $80K
7726,$80K - $120K
131,$40K - $60K
1853,$120K +
9218,Less than $40K
4579,$80K - $120K
7069,$40K - $60K
8705,$80K - $120K
6980,Less than $40K
7094,Unknown
6751,Less than $40K
547,Unknown
8160,$60K - $80K
2354,Less than $40K
8913,$60K - $80K
3008,$40K - $60K
7643,$40K - $60K
6215,Less than $40K
4711,Less than $40K
1333,Less than $40K
5144,Less than $40K
9210,Less than $40K
1226,$80K - $120K
380,Less than $40K
7589,Less than $40K
2264,$120K +
6026,$40K - $60K
1572,$40K - $60K
5841,$40K - $60K
2308,$60K - $80K
5622,Less than $40K
5286,$80K - $120K
7692,Less than $40K
664,$60K - $80K
8813,$80K - $120K
111,$60K - $80K
8283,$40K - $60K
4426,$120K +
6030,Less than $40K
5804,$80K - $120K
1033,$80K - $120K
3956,$120K +
2597,$40K - $60K
8640,Less than $40K
7785,Less than $40K
8325,Unknown
2162,$60K - $80K
475,Less than $40K
8570,$40K - $60K
6019,Less than $40K
201,$60K - $80K
1232,$80K - $120K
7887,Unknown
921,Less than $40K
902,$60K - $80K
9389,$120K +
3375,$40K - $60K
5621,Less than $40K
6784,Unknown
6899,Less than $40K
8516,Unknown
6948,Less than $40K
8406,Less than $40K
2741,Unknown
7483,$60K - $80K
7918,Unknown
8359,Less than $40K
3494,$120K +
7108,$60K - $80K
6495,$40K - $60K
9735,$80K - $120K
9046,Less than $40K
3971,$80K - $120K
1884,$60K - $80K
2283,Less than $40K
9850,$60K - $80K
9545,Less than $40K
857,Less than $40K
6833,Unknown
4793,$40K - $60K
1926,Less than $40K
3089,$40K - $60K
3868,$60K - $80K
604,Less than $40K
9981,Less than $40K
8767,$60K - $80K
267,Unknown
261,$40K - $60K
9387,$120K +
9298,$60K - $80K
1932,$120K +
9266,Less than $40K
688,$80K - $120K
7746,Less than $40K
3930,Less than $40K
3360,$40K - $60K
1535,$40K - $60K
10013,Less than $40K
5894,Less than $40K
6300,Less than $40K
1774,Less than $40K
463,$80K - $120K
1100,$60K - $80K
6485,$80K - $120K
6054,Less than $40K
9159,Unknown
3480,Less than $40K
6202,Less than $40K
1896,$120K +
3282,$40K - $60K
779,$40K - $60K
3189,Less than $40K
4184,$120K +
8470,Unknown
3019,Unknown
6926,$40K - $60K
9907,Less than $40K
2503,$60K - $80K
9326,$60K - $80K
1596,$60K - $80K
1506,$120K +
9429,$60K - $80K
5030,$120K +
6838,Less than $40K
6392,$40K - $60K
8479,$40K - $60K
5826,Less than $40K
6702,Less than $40K
9979,$40K - $60K
8672,Less than $40K
4306,Less than $40K
7996,Less than $40K
4831,$60K - $80K
8937,$60K - $80K
9782,$80K - $120K
5724,$40K - $60K
4542,$60K - $80K
6579,$60K - $80K
6024,Unknown
1136,$80K - $120K
2873,$80K - $120K
2187,$80K - $120K
3567,Less than $40K
7696,Less than $40K
7891,Unknown
3774,Less than $40K
6657,$40K - $60K
5472,$40K - $60K
89,$120K +
10070,$80K - $120K
2202,$120K +
229,$120K +
1357,Less than $40K
5802,$120K +
1214,Less than $40K
6820,Less than $40K
9891,Less than $40K
1970,Less than $40K
272,$40K - $60K
454,Less than $40K
9558,$80K - $120K
6742,Less than $40K
3328,$80K - $120K
108,Less than $40K
6252,Less than $40K
1080,$80K - $120K
2794,$120K +
3525,$40K - $60K
10006,$80K - $120K
1580,Less than $40K
7964,Less than $40K
3723,$60K - $80K
5534,$40K - $60K
4826,Less than $40K
2048,Less than $40K
9448,$60K - $80K
492,Unknown
4117,Less than $40K
2761,$80K - $120K
7950,Unknown
997,$40K - $60K
4816,$120K +
2075,Less than $40K
7106,$80K - $120K
4740,Less than $40K
6073,Less than $40K
8143,Unknown
2769,$40K - $60K
5753,Less than $40K
3957,$120K +
2542,$60K - $80K
7644,Unknown
1427,Less than $40K
9273,Unknown
415,$60K - $80K
5880,$60K - $80K
2717,Less than $40K
9598,Less than $40K
1292,$40K - $60K
1612,Less than $40K
9122,$40K - $60K
10023,Less than $40K
6266,$40K - $60K
4405,Less than $40K
5998,Unknown
5131,$80K - $120K
4214,Less than $40K
3220,$60K - $80K
9622,$80K - $120K
2678,Unknown
9456,$80K - $120K
9976,$120K +
6111,Less than $40K
1020,$120K +
5949,Less than $40K
9381,$40K - $60K
9283,$60K - $80K
6974,$40K - $60K
1638,$60K - $80K
8897,$120K +
9874,Less than $40K
6136,Less than $40K
6851,$40K - $60K
5915,Less than $40K
504,$60K - $80K
2290,$40K - $60K
3679,$80K - $120K
4697,$40K - $60K
8208,Less than $40K
1758,Less than $40K
8031,$40K - $60K
485,$40K - $60K
3687,$80K - $120K
196,$120K +
3026,$60K - $80K
7597,$80K - $120K
1314,$60K - $80K
3304,$40K - $60K
8830,$40K - $60K
1823,$40K - $60K
374,Less than $40K
9034,Less than $40K
6020,Unknown
6010,Unknown
3841,$60K - $80K
1017,$60K - $80K
8670,Less than $40K
4767,Unknown
3214,$60K - $80K
1684,Unknown
1719,$40K - $60K
4205,$80K - $120K
9271,$40K - $60K
6819,$80K - $120K
3313,Less than $40K
6821,Less than $40K
9823,Less than $40K
3601,$40K - $60K
8989,$80K - $120K
6934,Less than $40K
2818,$120K +
5896,Less than $40K
9068,Unknown
9706,Unknown
8290,Less than $40K
9824,$80K - $120K
9738,Less than $40K
300,$120K +
456,$80K - $120K
9623,Unknown
6002,$40K - $60K
9176,$40K - $60K
1258,Unknown
9610,Less than $40K
3183,$120K +
1016,Less than $40K
6701,$80K - $120K
7200,Less than $40K
7615,Less than $40K
984,$60K - $80K
3234,$60K - $80K
5232,$40K - $60K
3076,$120K +
7585,$40K - $60K
10117,$80K - $120K
473,$120K +
1981,Less than $40K
2613,Less than $40K
7001,Less than $40K
2881,$40K - $60K
3248,Less than $40K
8267,Less than $40K
1371,Less than $40K
7641,Less than $40K
4768,Less than $40K
5740,$120K +
1450,Less than $40K
3849,Less than $40K
1248,Less than $40K
8733,$80K - $120K
2628,Less than $40K
4052,Less than $40K
297,$40K - $60K
8357,$40K - $60K
6907,$60K - $80K
6283,Less than $40K
8155,$120K +
6034,$80K - $120K
4674,Less than $40K
8150,Less than $40K
3333,$40K - $60K
7234,Unknown
2360,Less than $40K
137,$60K - $80K
1250,Less than $40K
3032,$60K - $80K
872,Less than $40K
6673,Less than $40K
9272,$60K - $80K
6097,Less than $40K
9641,Less than $40K
6633,Less than $40K
9772,Less than $40K
9085,Less than $40K
1129,$80K - $120K
3484,Less than $40K
3168,$120K +
8838,$80K - $120K
345,$120K +
6331,Less than $40K
4206,Unknown
202,$80K - $120K
3853,$80K - $120K
1150,Less than $40K
8502,$80K - $120K
7223,$40K - $60K
6402,Less than $40K
6845,$80K - $120K
10033,Less than $40K
1569,$120K +
9426,Less than $40K
2783,$40K - $60K
5555,$40K - $60K
2240,Less than $40K
8567,Less than $40K
4449,$60K - $80K
3389,Less than $40K
4429,$40K - $60K
3659,$80K - $120K
6683,Unknown
2632,$80K - $120K
2243,$40K - $60K
9228,$80K - $120K
5412,Less than $40K
3536,Less than $40K
9500,$40K - $60K
7164,Less than $40K
7268,$120K +
1567,$80K - $120K
2119,$80K - $120K
10069,Less than $40K
9083,$40K - $60K
7417,Less than $40K
4244,$60K - $80K
897,Less than $40K
502,$40K - $60K
2577,$120K +
2609,$120K +
4192,Less than $40K
5315,Less than $40K
1420,Less than $40K
6384,$40K - $60K
2530,$120K +
6588,Less than $40K
7339,$60K - $80K
7124,Less than $40K
573,$80K - $120K
907,$80K - $120K
7235,$80K - $120K
3854,Less than $40K
9615,$40K - $60K
24,$80K - $120K
1473,$60K - $80K
4276,$60K - $80K
353,$40K - $60K
2333,Unknown
7000,Unknown
6884,Less than $40K
8295,Unknown
1266,$80K - $120K
9936,$80K - $120K
5950,$40K - $60K
764,Less than $40K
1156,$120K +
233,$80K - $120K
5041,Unknown
806,Less than $40K
8575,$80K - $120K
1306,Less than $40K
3550,Less than $40K
4329,Unknown
5380,Less than $40K
7852,Less than $40K
576,Less than $40K
9179,Unknown
1117,$40K - $60K
1591,$60K - $80K
4283,Unknown
6539,Less than $40K
2919,Less than $40K
51,Less than $40K
793,$120K +
5432,Unknown
5325,Less than $40K
4702,Less than $40K
2674,$60K - $80K
961,$120K +
5427,Less than $40K
1912,$60K - $80K
2831,Less than $40K
2122,Less than $40K
9766,$80K - $120K
197,$80K - $120K
1834,Unknown
3543,Less than $40K
385,$80K - $120K
4603,Less than $40K
7052,$60K - $80K
1176,$80K - $120K
3629,$60K - $80K
8043,Less than $40K
8833,$120K +
2214,$40K - $60K
5012,$80K - $120K
4973,Less than $40K
3063,$60K - $80K
7383,Unknown
5431,Less than $40K
5151,Less than $40K
7104,$40K - $60K
5235,Less than $40K
4114,Less than $40K
8209,$40K - $60K
1620,$60K - $80K
3165,$60K - $80K
5263,$40K - $60K
5087,$80K - $120K
8638,Less than $40K
2200,$120K +
2460,$60K - $80K
2733,$60K - $80K
4894,$60K - $80K
184,$60K - $80K
1494,$120K +
9584,$80K - $120K
6557,Less than $40K
5751,$40K - $60K
198,Less than $40K
756,$40K - $60K
616,Unknown
2893,Less than $40K
1599,Unknown
7938,Less than $40K
5596,Less than $40K
10032,Less than $40K
7336,Less than $40K
655,$60K - $80K
6840,Less than $40K
6098,$80K - $120K
5422,$60K - $80K
6570,$120K +
5606,$40K - $60K
1275,$120K +
6592,$80K - $120K
1004,Less than $40K
7719,Less than $40K
9822,$40K - $60K
6443,$60K - $80K
813,$120K +
6263,Less than $40K
2655,Less than $40K
4097,Less than $40K
8919,$60K - $80K
2778,Unknown
8794,Unknown
5717,$40K - $60K
480,$80K - $120K
314,$120K +
6637,Less than $40K
2731,Less than $40K
4749,$120K +
4570,Less than $40K
2832,$80K - $120K
7680,Unknown
2564,$120K +
2936,Less than $40K
1270,Less than $40K
5470,$40K - $60K
1169,Less than $40K
7076,$40K - $60K
9925,Unknown
2916,$80K - $120K
4166,$60K - $80K
4665,$60K - $80K
1796,$60K - $80K
6518,Less than $40K
3572,$60K - $80K
9557,Unknown
5671,Unknown
9207,$60K - $80K
3088,Unknown
5975,$60K - $80K
4758,Less than $40K
4743,$60K - $80K
4902,$60K - $80K
1609,$60K - $80K
2087,$120K +
3083,$120K +
4494,$60K - $80K
253,$40K - $60K
8528,Less than $40K
8491,$40K - $60K
10053,$40K - $60K
7251,Unknown
9543,$80K - $120K
6170,Less than $40K
8116,Less than $40K
5223,$80K - $120K
4341,Less than $40K
2224,Less than $40K
2736,$40K - $60K
7139,$40K - $60K
2967,Unknown
3001,Less than $40K
8178,$40K - $60K
1555,Less than $40K
5073,Less than $40K
3671,$40K - $60K
3631,$60K - $80K
9961,$80K - $120K
4212,$120K +
83,Unknown
8069,$120K +
2316,$80K - $120K
8467,Unknown
5444,$80K - $120K
6858,Less than $40K
605,Unknown
1838,$120K +
3502,$80K - $120K
1264,$60K - $80K
1460,Less than $40K
5798,$40K - $60K
5017,$60K - $80K
182,Less than $40K
5784,Less than $40K
3955,$60K - $80K
8366,$40K - $60K
3043,Less than $40K
8385,$40K - $60K
5321,$60K - $80K
3010,$120K +
6708,Unknown
7628,Less than $40K
5365,$40K - $60K
2852,Less than $40K
1054,Less than $40K
939,$80K - $120K
5885,Less than $40K
78,$60K - $80K
1864,Less than $40K
1290,$60K - $80K
216,Less than $40K
6625,$60K - $80K
4594,$60K - $80K
7217,Less than $40K
9713,Less than $40K
1575,Less than $40K
6052,Less than $40K
7142,$40K - $60K
2502,Less than $40K
9373,$60K - $80K
6578,Less than $40K
4393,Less than $40K
7541,Less than $40K
893,Unknown
457,Less than $40K
9755,Less than $40K
9099,$40K - $60K
5,$40K - $60K
4657,Unknown
1167,Less than $40K
9987,$60K - $80K
8514,Less than $40K
5418,$40K - $60K
6753,Unknown
5668,$120K +
9892,Unknown
8270,$80K - $120K
5557,Less than $40K
6173,Less than $40K
4415,$40K - $60K
9027,$120K +
3712,$60K - $80K
8154,$120K +
1984,$60K - $80K
9080,$60K - $80K
5793,$60K - $80K
5550,Unknown
943,$40K - $60K
5877,$120K +
9515,$80K - $120K
9274,Less than $40K
1742,$80K - $120K
2684,$60K - $80K
1415,$40K - $60K
3811,Unknown
7157,Less than $40K
1400,$40K - $60K
7547,Unknown
1574,$40K - $60K
8240,$40K - $60K
3964,Less than $40K
4295,$120K +
9345,$60K - $80K
8554,Less than $40K
